id,law_ref,old_position,new_position,signed_shift,absolute_shift,nearest_same_article_gap_in_shuffled_order
FLEXID-0443,"Code civil, art. 65",443,97,-346,346,331
FLEXID-0444,"Code civil, art. 65",444,428,-16,16,331
FLEXID-0445,"Code civil, art. 66",445,752,307,307,331
FLEXID-0446,"Code civil, art. 66",446,90,-356,356,331
FLEXID-0447,"Code civil, art. 66",447,421,-26,26,331
FLEXID-0448,"Code civil, art. 67",448,771,323,323,331
FLEXID-0449,"Code civil, art. 67",449,109,-340,340,331
FLEXID-0450,"Code civil, art. 67",450,440,-10,10,331
FLEXID-0451,"Code civil, art. 68",451,762,311,311,358
FLEXID-0452,"Code civil, art. 68",452,73,-379,379,331
FLEXID-0453,"Code civil, art. 68",453,404,-49,49,331
FLEXID-0454,"Code civil, art. 69",454,496,42,42,331
FLEXID-0455,"Code civil, art. 69",455,827,372,372,331
FLEXID-0456,"Code civil, art. 69",456,165,-291,291,331
FLEXID-0457,"Code civil, art. 70",457,959,502,502,331
FLEXID-0458,"Code civil, art. 70",458,628,170,170,331
FLEXID-0459,"Code civil, art. 70",459,297,-162,162,331
FLEXID-0460,"Code civil, art. 74",460,698,238,238,331
FLEXID-0461,"Code civil, art. 74",461,36,-425,425,331
FLEXID-0462,"Code civil, art. 74",462,367,-95,95,331
FLEXID-0463,"Code civil, art. 78",463,673,210,210,331
FLEXID-0464,"Code civil, art. 78",464,11,-453,453,331
FLEXID-0465,"Code civil, art. 78",465,342,-123,123,331
FLEXID-0466,"Code civil, art. 79-1",466,797,331,331,331
FLEXID-0467,"Code civil, art. 79-1",467,135,-332,332,331
FLEXID-0468,"Code civil, art. 79-1",468,466,-2,2,331
FLEXID-0469,"Code civil, art. 81",469,529,60,60,331
FLEXID-0470,"Code civil, art. 81",470,860,390,390,331
FLEXID-0471,"Code civil, art. 81",471,198,-273,273,331
FLEXID-0472,"Code civil, art. 82",472,841,369,369,403
FLEXID-0473,"Code civil, art. 82",473,107,-366,366,331
FLEXID-0474,"Code civil, art. 82",474,438,-36,36,331
FLEXID-0475,"Code civil, art. 87",475,527,52,52,331
FLEXID-0476,"Code civil, art. 87",476,858,382,382,331
FLEXID-0477,"Code civil, art. 87",477,196,-281,281,331
FLEXID-0478,"Code civil, art. 88",478,557,79,79,331
FLEXID-0479,"Code civil, art. 88",479,888,409,409,331
FLEXID-0480,"Code civil, art. 88",480,226,-254,254,331
FLEXID-0481,"Code civil, art. 98",481,790,309,309,439
FLEXID-0482,"Code civil, art. 98",482,20,-462,462,331
FLEXID-0483,"Code civil, art. 98",483,351,-132,132,331
FLEXID-0484,"Code civil, art. 98-2",484,709,225,225,331
FLEXID-0485,"Code civil, art. 98-2",485,47,-438,438,331
FLEXID-0486,"Code civil, art. 98-2",486,378,-108,108,331
FLEXID-0487,"Code civil, art. 99",487,522,35,35,331
FLEXID-0488,"Code civil, art. 99",488,853,365,365,331
FLEXID-0489,"Code civil, art. 99",489,191,-298,298,331
FLEXID-0490,"Code civil, art. 100",490,819,329,329,436
FLEXID-0491,"Code civil, art. 100",491,52,-439,439,331
FLEXID-0492,"Code civil, art. 100",492,383,-109,109,331
FLEXID-0493,"Code civil, art. 101-1",493,537,44,44,331
FLEXID-0494,"Code civil, art. 101-1",494,868,374,374,331
FLEXID-0495,"Code civil, art. 101-1",495,206,-289,289,331
FLEXID-0496,"Code civil, art. 101-2",496,624,128,128,331
FLEXID-0497,"Code civil, art. 101-2",497,955,458,458,331
FLEXID-0498,"Code civil, art. 101-2",498,293,-205,205,331
FLEXID-0499,"Code civil, art. 103",499,806,307,307,331
FLEXID-0500,"Code civil, art. 103",500,144,-356,356,331
FLEXID-0501,"Code civil, art. 103",501,475,-26,26,331
FLEXID-0502,"Code civil, art. 104",502,933,431,431,502
FLEXID-0503,"Code civil, art. 104",503,100,-403,403,331
FLEXID-0504,"Code civil, art. 104",504,431,-73,73,331
FLEXID-0505,"Code civil, art. 106",505,744,239,239,331
FLEXID-0506,"Code civil, art. 106",506,82,-424,424,331
FLEXID-0507,"Code civil, art. 106",507,413,-94,94,331
FLEXID-0508,"Code civil, art. 107",508,563,55,55,331
FLEXID-0509,"Code civil, art. 107",509,894,385,385,331
FLEXID-0510,"Code civil, art. 107",510,232,-278,278,331
FLEXID-0511,"Code civil, art. 108",511,963,452,452,461
FLEXID-0512,"Code civil, art. 108",512,171,-341,341,331
FLEXID-0513,"Code civil, art. 108",513,502,-11,11,331
FLEXID-0514,"Code civil, art. 108-1",514,561,47,47,331
FLEXID-0515,"Code civil, art. 108-1",515,892,377,377,331
FLEXID-0516,"Code civil, art. 108-1",516,230,-286,286,331
FLEXID-0517,"Code civil, art. 108-2",517,544,27,27,331
FLEXID-0518,"Code civil, art. 108-2",518,875,357,357,331
FLEXID-0519,"Code civil, art. 108-2",519,213,-306,306,331
FLEXID-0520,"Code civil, art. 108-3",520,710,190,190,337
FLEXID-0521,"Code civil, art. 108-3",521,42,-479,479,331
FLEXID-0522,"Code civil, art. 108-3",522,373,-149,149,331
FLEXID-0523,"Code civil, art. 109",523,679,156,156,331
FLEXID-0524,"Code civil, art. 109",524,348,-176,176,331
FLEXID-0525,"Code civil, art. 109",525,17,-508,508,331
FLEXID-0526,"Code civil, art. 112",526,719,193,193,331
FLEXID-0527,"Code civil, art. 112",527,57,-470,470,331
FLEXID-0528,"Code civil, art. 112",528,388,-140,140,331
FLEXID-0529,"Code civil, art. 115",529,535,6,6,331
FLEXID-0530,"Code civil, art. 115",530,970,440,440,435
FLEXID-0531,"Code civil, art. 115",531,204,-327,327,331
FLEXID-0532,"Code civil, art. 117",532,750,218,218,331
FLEXID-0533,"Code civil, art. 117",533,88,-445,445,331
FLEXID-0534,"Code civil, art. 117",534,419,-115,115,331
FLEXID-0535,"Code civil, art. 118",535,793,258,258,331
FLEXID-0536,"Code civil, art. 118",536,131,-405,405,331
FLEXID-0537,"Code civil, art. 118",537,462,-75,75,331
FLEXID-0538,"Code civil, art. 119",538,837,299,299,331
FLEXID-0539,"Code civil, art. 119",539,175,-364,364,331
FLEXID-0540,"Code civil, art. 119",540,506,-34,34,331
FLEXID-0541,"Code civil, art. 123",541,733,192,192,331
FLEXID-0542,"Code civil, art. 123",542,71,-471,471,331
FLEXID-0543,"Code civil, art. 123",543,402,-141,141,331
FLEXID-0544,"Code civil, art. 124",544,787,243,243,331
FLEXID-0545,"Code civil, art. 124",545,125,-420,420,331
FLEXID-0546,"Code civil, art. 124",546,456,-90,90,331
FLEXID-0547,"Code civil, art. 126",547,862,315,315,331
FLEXID-0548,"Code civil, art. 126",548,200,-348,348,331
FLEXID-0549,"Code civil, art. 126",549,531,-18,18,331
FLEXID-0550,"Code civil, art. 128",550,792,242,242,366
FLEXID-0551,"Code civil, art. 128",551,95,-456,456,331
FLEXID-0552,"Code civil, art. 128",552,426,-126,126,331
FLEXID-0553,"Code civil, art. 131",553,815,262,262,331
FLEXID-0554,"Code civil, art. 131",554,153,-401,401,331
FLEXID-0555,"Code civil, art. 131",555,484,-71,71,331
FLEXID-0556,"Code civil, art. 143",556,873,317,317,331
FLEXID-0557,"Code civil, art. 143",557,211,-346,346,331
FLEXID-0558,"Code civil, art. 143",558,542,-16,16,331
FLEXID-0559,"Code civil, art. 144",559,887,328,328,331
FLEXID-0560,"Code civil, art. 144",560,225,-335,335,331
FLEXID-0561,"Code civil, art. 144",561,556,-5,5,331
FLEXID-0562,"Code civil, art. 145",562,569,7,7,331
FLEXID-0563,"Code civil, art. 145",563,900,337,337,331
FLEXID-0564,"Code civil, art. 145",564,238,-326,326,331
FLEXID-0565,"Code civil, art. 146",565,842,277,277,331
FLEXID-0566,"Code civil, art. 146",566,180,-386,386,331
FLEXID-0567,"Code civil, art. 146",567,511,-56,56,331
FLEXID-0568,"Code civil, art. 146-1",568,884,316,316,331
FLEXID-0569,"Code civil, art. 146-1",569,222,-347,347,331
FLEXID-0570,"Code civil, art. 146-1",570,553,-17,17,331
FLEXID-0571,"Code civil, art. 147",571,606,35,35,331
FLEXID-0572,"Code civil, art. 147",572,937,365,365,331
FLEXID-0573,"Code civil, art. 147",573,275,-298,298,331
FLEXID-0574,"Code civil, art. 148",574,817,243,243,331
FLEXID-0575,"Code civil, art. 148",575,155,-420,420,331
FLEXID-0576,"Code civil, art. 148",576,486,-90,90,331
FLEXID-0577,"Code civil, art. 150",577,878,301,301,331
FLEXID-0578,"Code civil, art. 150",578,216,-362,362,331
FLEXID-0579,"Code civil, art. 150",579,547,-32,32,331
FLEXID-0580,"Code civil, art. 154",580,588,8,8,331
FLEXID-0581,"Code civil, art. 154",581,919,338,338,331
FLEXID-0582,"Code civil, art. 154",582,257,-325,325,331
FLEXID-0583,"Code civil, art. 159",583,913,330,330,331
FLEXID-0584,"Code civil, art. 159",584,251,-333,333,331
FLEXID-0585,"Code civil, art. 159",585,582,-3,3,331
FLEXID-0586,"Code civil, art. 160",586,895,309,309,331
FLEXID-0587,"Code civil, art. 160",587,233,-354,354,331
FLEXID-0588,"Code civil, art. 160",588,564,-24,24,331
FLEXID-0589,"Code civil, art. 162",589,612,23,23,331
FLEXID-0590,"Code civil, art. 162",590,943,353,353,331
FLEXID-0591,"Code civil, art. 162",591,281,-310,310,331
FLEXID-0592,"Code civil, art. 163",592,780,188,188,331
FLEXID-0593,"Code civil, art. 163",593,118,-475,475,331
FLEXID-0594,"Code civil, art. 163",594,449,-145,145,331
FLEXID-0595,"Code civil, art. 169",595,990,395,395,643
FLEXID-0596,"Code civil, art. 169",596,16,-580,580,331
FLEXID-0597,"Code civil, art. 169",597,347,-250,250,331
FLEXID-0598,"Code civil, art. 171",598,722,124,124,331
FLEXID-0599,"Code civil, art. 171",599,391,-208,208,331
FLEXID-0600,"Code civil, art. 171",600,60,-540,540,331
FLEXID-0601,"Code civil, art. 171-5",601,614,13,13,331
FLEXID-0602,"Code civil, art. 171-5",602,945,343,343,331
FLEXID-0603,"Code civil, art. 171-5",603,283,-320,320,331
FLEXID-0604,"Code civil, art. 171-6",604,766,162,162,331
FLEXID-0605,"Code civil, art. 171-6",605,435,-170,170,331
FLEXID-0606,"Code civil, art. 171-6",606,104,-502,502,331
FLEXID-0607,"Code civil, art. 172",607,859,252,252,331
FLEXID-0608,"Code civil, art. 172",608,197,-411,411,331
FLEXID-0609,"Code civil, art. 172",609,528,-81,81,331
FLEXID-0610,"Code civil, art. 173",610,917,307,307,563
FLEXID-0611,"Code civil, art. 173",611,23,-588,588,331
FLEXID-0612,"Code civil, art. 173",612,354,-258,258,331
FLEXID-0613,"Code civil, art. 175-1",613,809,196,196,331
FLEXID-0614,"Code civil, art. 175-1",614,147,-467,467,331
FLEXID-0615,"Code civil, art. 175-1",615,478,-137,137,331
FLEXID-0616,"Code civil, art. 177",616,772,156,156,331
FLEXID-0617,"Code civil, art. 177",617,441,-176,176,331
FLEXID-0618,"Code civil, art. 177",618,110,-508,508,331
FLEXID-0619,"Code civil, art. 180",619,905,286,286,331
FLEXID-0620,"Code civil, art. 180",620,243,-377,377,331
FLEXID-0621,"Code civil, art. 180",621,574,-47,47,331
FLEXID-0622,"Code civil, art. 182",622,712,90,90,331
FLEXID-0623,"Code civil, art. 182",623,381,-242,242,331
FLEXID-0624,"Code civil, art. 182",624,50,-574,574,331
FLEXID-0625,"Code civil, art. 183",625,947,322,322,331
FLEXID-0626,"Code civil, art. 183",626,285,-341,341,331
FLEXID-0627,"Code civil, art. 183",627,616,-11,11,331
FLEXID-0628,"Code civil, art. 188",628,758,130,130,331
FLEXID-0629,"Code civil, art. 188",629,427,-202,202,331
FLEXID-0630,"Code civil, art. 188",630,96,-534,534,331
FLEXID-0631,"Code civil, art. 189",631,713,82,82,350
FLEXID-0632,"Code civil, art. 189",632,363,-269,269,331
FLEXID-0633,"Code civil, art. 189",633,32,-601,601,331
FLEXID-0634,"Code civil, art. 191",634,960,326,326,331
FLEXID-0635,"Code civil, art. 191",635,298,-337,337,331
FLEXID-0636,"Code civil, art. 191",636,629,-7,7,331
FLEXID-0637,"Code civil, art. 192",637,906,269,269,331
FLEXID-0638,"Code civil, art. 192",638,244,-394,394,331
FLEXID-0639,"Code civil, art. 192",639,575,-64,64,331
FLEXID-0640,"Code civil, art. 195",640,848,208,208,331
FLEXID-0641,"Code civil, art. 195",641,186,-455,455,331
FLEXID-0642,"Code civil, art. 195",642,517,-125,125,331
FLEXID-0643,"Code civil, art. 196",643,739,96,96,331
FLEXID-0644,"Code civil, art. 196",644,408,-236,236,331
FLEXID-0645,"Code civil, art. 196",645,77,-568,568,331
FLEXID-0646,"Code civil, art. 198",646,823,177,177,331
FLEXID-0647,"Code civil, art. 198",647,161,-486,486,331
FLEXID-0648,"Code civil, art. 198",648,492,-156,156,331
FLEXID-0649,"Code civil, art. 200",649,923,274,274,399
FLEXID-0650,"Code civil, art. 200",650,193,-457,457,331
FLEXID-0651,"Code civil, art. 200",651,524,-127,127,331
FLEXID-0652,"Code civil, art. 201",652,829,177,177,331
FLEXID-0653,"Code civil, art. 201",653,167,-486,486,331
FLEXID-0654,"Code civil, art. 201",654,498,-156,156,331
FLEXID-0655,"Code civil, art. 202-2",655,696,41,41,331
FLEXID-0656,"Code civil, art. 202-2",656,365,-291,291,331
FLEXID-0657,"Code civil, art. 202-2",657,34,-623,623,331
FLEXID-0658,"Code civil, art. 203",658,700,42,42,331
FLEXID-0659,"Code civil, art. 203",659,369,-290,290,331
FLEXID-0660,"Code civil, art. 203",660,38,-622,622,331
FLEXID-0661,"Code civil, art. 204",661,935,274,274,331
FLEXID-0662,"Code civil, art. 204",662,273,-389,389,331
FLEXID-0663,"Code civil, art. 204",663,604,-59,59,331
FLEXID-0664,"Code civil, art. 205",664,901,237,237,331
FLEXID-0665,"Code civil, art. 205",665,239,-426,426,331
FLEXID-0666,"Code civil, art. 205",666,570,-96,96,331
FLEXID-0667,"Code civil, art. 206",667,987,320,320,477
FLEXID-0668,"Code civil, art. 206",668,179,-489,489,331
FLEXID-0669,"Code civil, art. 206",669,510,-159,159,331
FLEXID-0670,"Code civil, art. 208",670,961,291,291,547
FLEXID-0671,"Code civil, art. 208",671,83,-588,588,331
FLEXID-0672,"Code civil, art. 208",672,414,-258,258,331
FLEXID-0673,"Code civil, art. 209",673,755,82,82,331
FLEXID-0674,"Code civil, art. 209",674,424,-250,250,331
FLEXID-0675,"Code civil, art. 209",675,93,-582,582,331
FLEXID-0676,"Code civil, art. 210",676,889,213,213,331
FLEXID-0677,"Code civil, art. 210",677,227,-450,450,331
FLEXID-0678,"Code civil, art. 210",678,558,-120,120,331
FLEXID-0679,"Code civil, art. 211",679,834,155,155,331
FLEXID-0680,"Code civil, art. 211",680,503,-177,177,331
FLEXID-0681,"Code civil, art. 211",681,172,-509,509,331
FLEXID-0682,"Code civil, art. 212",682,977,295,295,388
FLEXID-0683,"Code civil, art. 212",683,258,-425,425,331
FLEXID-0684,"Code civil, art. 212",684,589,-95,95,331
FLEXID-0685,"Code civil, art. 213",685,770,85,85,331
FLEXID-0686,"Code civil, art. 213",686,439,-247,247,331
FLEXID-0687,"Code civil, art. 213",687,108,-579,579,331
FLEXID-0688,"Code civil, art. 214",688,820,132,132,331
FLEXID-0689,"Code civil, art. 214",689,489,-200,200,331
FLEXID-0690,"Code civil, art. 214",690,158,-532,532,331
FLEXID-0691,"Code civil, art. 215",691,821,130,130,331
FLEXID-0692,"Code civil, art. 215",692,490,-202,202,331
FLEXID-0693,"Code civil, art. 215",693,159,-534,534,331
FLEXID-0694,"Code civil, art. 216",694,930,236,236,331
FLEXID-0695,"Code civil, art. 216",695,268,-427,427,331
FLEXID-0696,"Code civil, art. 216",696,599,-97,97,331
FLEXID-0697,"Code civil, art. 217",697,748,51,51,331
FLEXID-0698,"Code civil, art. 217",698,417,-281,281,331
FLEXID-0699,"Code civil, art. 217",699,86,-613,613,331
FLEXID-0700,"Code civil, art. 218",700,976,276,276,476
FLEXID-0701,"Code civil, art. 218",701,169,-532,532,331
FLEXID-0702,"Code civil, art. 218",702,500,-202,202,331
FLEXID-0703,"Code civil, art. 219",703,879,176,176,331
FLEXID-0704,"Code civil, art. 219",704,217,-487,487,331
FLEXID-0705,"Code civil, art. 219",705,548,-157,157,331
FLEXID-0706,"Code civil, art. 220-1",706,941,235,235,331
FLEXID-0707,"Code civil, art. 220-1",707,279,-428,428,331
FLEXID-0708,"Code civil, art. 220-1",708,610,-98,98,331
FLEXID-0709,"Code civil, art. 220-3",709,742,33,33,331
FLEXID-0710,"Code civil, art. 220-3",710,411,-299,299,331
FLEXID-0711,"Code civil, art. 220-3",711,80,-631,631,331
FLEXID-0712,"Code civil, art. 221",712,975,263,263,629
FLEXID-0713,"Code civil, art. 221",713,346,-367,367,331
FLEXID-0714,"Code civil, art. 221",714,15,-699,699,331
FLEXID-0715,"Code civil, art. 223",715,966,251,251,623
FLEXID-0716,"Code civil, art. 223",716,343,-373,373,331
FLEXID-0717,"Code civil, art. 223",717,12,-705,705,331
FLEXID-0718,"Code civil, art. 225",718,808,90,90,331
FLEXID-0719,"Code civil, art. 225",719,477,-242,242,331
FLEXID-0720,"Code civil, art. 225",720,146,-574,574,331
FLEXID-0721,"Code civil, art. 225-1",721,948,227,227,331
FLEXID-0722,"Code civil, art. 225-1",722,286,-436,436,331
FLEXID-0723,"Code civil, art. 225-1",723,617,-106,106,331
FLEXID-0724,"Code civil, art. 227",724,59,-665,665,331
FLEXID-0725,"Code civil, art. 227",725,390,-335,335,331
FLEXID-0726,"Code civil, art. 227",726,721,-5,5,331
FLEXID-0727,"Code civil, art. 232",727,824,97,97,331
FLEXID-0728,"Code civil, art. 232",728,493,-235,235,331
FLEXID-0729,"Code civil, art. 232",729,162,-567,567,331
FLEXID-0730,"Code civil, art. 234",730,857,127,127,331
FLEXID-0731,"Code civil, art. 234",731,526,-205,205,331
FLEXID-0732,"Code civil, art. 234",732,195,-537,537,331
FLEXID-0733,"Code civil, art. 237",733,776,43,43,331
FLEXID-0734,"Code civil, art. 237",734,445,-289,289,331
FLEXID-0735,"Code civil, art. 237",735,114,-621,621,331
FLEXID-0736,"Code civil, art. 244",736,760,24,24,331
FLEXID-0737,"Code civil, art. 244",737,429,-308,308,331
FLEXID-0738,"Code civil, art. 244",738,98,-640,640,331
FLEXID-0739,"Code civil, art. 245-1",739,852,113,113,331
FLEXID-0740,"Code civil, art. 245-1",740,521,-219,219,331
FLEXID-0741,"Code civil, art. 245-1",741,190,-551,551,331
FLEXID-0742,"Code civil, art. 247-1",742,30,-712,712,331
FLEXID-0743,"Code civil, art. 247-1",743,361,-382,382,331
FLEXID-0744,"Code civil, art. 247-1",744,692,-52,52,331
FLEXID-0745,"Code civil, art. 248",745,805,60,60,331
FLEXID-0746,"Code civil, art. 248",746,474,-272,272,331
FLEXID-0747,"Code civil, art. 248",747,143,-604,604,331
FLEXID-0748,"Code civil, art. 249",748,883,135,135,331
FLEXID-0749,"Code civil, art. 249",749,552,-197,197,331
FLEXID-0750,"Code civil, art. 249",750,221,-529,529,331
FLEXID-0751,"Code civil, art. 250",751,62,-689,689,331
FLEXID-0752,"Code civil, art. 250",752,393,-359,359,331
FLEXID-0753,"Code civil, art. 250",753,724,-29,29,331
FLEXID-0754,"Code civil, art. 251",754,91,-663,663,331
FLEXID-0755,"Code civil, art. 251",755,422,-333,333,331
FLEXID-0756,"Code civil, art. 251",756,753,-3,3,331
FLEXID-0757,"Code civil, art. 253",757,76,-681,681,331
FLEXID-0758,"Code civil, art. 253",758,407,-351,351,331
FLEXID-0759,"Code civil, art. 253",759,738,-21,21,331
FLEXID-0760,"Code civil, art. 254",760,55,-705,705,331
FLEXID-0761,"Code civil, art. 254",761,386,-375,375,331
FLEXID-0762,"Code civil, art. 254",762,717,-45,45,331
FLEXID-0763,"Code civil, art. 259",763,912,149,149,331
FLEXID-0764,"Code civil, art. 259",764,581,-183,183,331
FLEXID-0765,"Code civil, art. 259",765,250,-515,515,331
FLEXID-0766,"Code civil, art. 259-1",766,925,159,159,331
FLEXID-0767,"Code civil, art. 259-1",767,594,-173,173,331
FLEXID-0768,"Code civil, art. 259-1",768,263,-505,505,331
FLEXID-0769,"Code civil, art. 259-2",769,957,188,188,331
FLEXID-0770,"Code civil, art. 259-2",770,295,-475,475,331
FLEXID-0771,"Code civil, art. 259-2",771,626,-145,145,331
FLEXID-0772,"Code civil, art. 260",772,102,-670,670,331
FLEXID-0773,"Code civil, art. 260",773,433,-340,340,331
FLEXID-0774,"Code civil, art. 260",774,764,-10,10,331
FLEXID-0775,"Code civil, art. 262",775,882,107,107,331
FLEXID-0776,"Code civil, art. 262",776,551,-225,225,331
FLEXID-0777,"Code civil, art. 262",777,220,-557,557,331
FLEXID-0778,"Code civil, art. 263",778,924,146,146,331
FLEXID-0779,"Code civil, art. 263",779,593,-186,186,331
FLEXID-0780,"Code civil, art. 263",780,262,-518,518,331
FLEXID-0781,"Code civil, art. 264",781,54,-727,727,331
FLEXID-0782,"Code civil, art. 264",782,385,-397,397,331
FLEXID-0783,"Code civil, art. 264",783,716,-67,67,331
FLEXID-0784,"Code civil, art. 265-1",784,983,199,199,451
FLEXID-0785,"Code civil, art. 265-1",785,532,-253,253,331
FLEXID-0786,"Code civil, art. 265-1",786,201,-585,585,331
FLEXID-0787,"Code civil, art. 265-2",787,53,-734,734,331
FLEXID-0788,"Code civil, art. 265-2",788,384,-404,404,331
FLEXID-0789,"Code civil, art. 265-2",789,728,-61,61,344
FLEXID-0790,"Code civil, art. 276-1",790,907,117,117,331
FLEXID-0791,"Code civil, art. 276-1",791,576,-215,215,331
FLEXID-0792,"Code civil, art. 276-1",792,245,-547,547,331
FLEXID-0793,"Code civil, art. 276-3",793,962,169,169,458
FLEXID-0794,"Code civil, art. 276-3",794,504,-290,290,331
FLEXID-0795,"Code civil, art. 276-3",795,173,-622,622,331
FLEXID-0796,"Code civil, art. 277",796,928,132,132,331
FLEXID-0797,"Code civil, art. 277",797,597,-200,200,331
FLEXID-0798,"Code civil, art. 277",798,266,-532,532,331
FLEXID-0799,"Code civil, art. 278",799,40,-759,759,331
FLEXID-0800,"Code civil, art. 278",800,371,-429,429,331
FLEXID-0801,"Code civil, art. 278",801,702,-99,99,331
FLEXID-0802,"Code civil, art. 285-1",802,893,91,91,331
FLEXID-0803,"Code civil, art. 285-1",803,562,-241,241,331
FLEXID-0804,"Code civil, art. 285-1",804,231,-573,573,331
FLEXID-0805,"Code civil, art. 299",805,126,-679,679,331
FLEXID-0806,"Code civil, art. 299",806,457,-349,349,331
FLEXID-0807,"Code civil, art. 299",807,788,-19,19,331
FLEXID-0808,"Code civil, art. 300",808,951,143,143,331
FLEXID-0809,"Code civil, art. 300",809,620,-189,189,331
FLEXID-0810,"Code civil, art. 300",810,289,-521,521,331
FLEXID-0811,"Code civil, art. 306",811,965,154,154,452
FLEXID-0812,"Code civil, art. 306",812,513,-299,299,331
FLEXID-0813,"Code civil, art. 306",813,182,-631,631,331
FLEXID-0814,"Code civil, art. 307",814,835,21,21,336
FLEXID-0815,"Code civil, art. 307",815,499,-316,316,331
FLEXID-0816,"Code civil, art. 307",816,168,-648,648,331
FLEXID-0817,"Code civil, art. 308",817,909,92,92,331
FLEXID-0818,"Code civil, art. 308",818,578,-240,240,331
FLEXID-0819,"Code civil, art. 308",819,247,-572,572,331
FLEXID-0820,"Code civil, art. 311",820,964,144,144,362
FLEXID-0821,"Code civil, art. 311",821,602,-219,219,331
FLEXID-0822,"Code civil, art. 311",822,271,-551,551,331
FLEXID-0823,"Code civil, art. 311-14",823,152,-671,671,331
FLEXID-0824,"Code civil, art. 311-14",824,483,-341,341,331
FLEXID-0825,"Code civil, art. 311-14",825,814,-11,11,331
FLEXID-0826,"Code civil, art. 311-15",826,946,120,120,458
FLEXID-0827,"Code civil, art. 311-15",827,488,-339,339,331
FLEXID-0828,"Code civil, art. 311-15",828,157,-671,671,331
FLEXID-0829,"Code civil, art. 311-17",829,87,-742,742,331
FLEXID-0830,"Code civil, art. 311-17",830,418,-412,412,331
FLEXID-0831,"Code civil, art. 311-17",831,749,-82,82,331
FLEXID-0832,"Code civil, art. 311-24-1",832,845,13,13,331
FLEXID-0833,"Code civil, art. 311-24-1",833,514,-319,319,331
FLEXID-0834,"Code civil, art. 311-24-1",834,183,-651,651,331
FLEXID-0835,"Code civil, art. 311-25",835,115,-720,720,331
FLEXID-0836,"Code civil, art. 311-25",836,446,-390,390,331
FLEXID-0837,"Code civil, art. 311-25",837,777,-60,60,331
FLEXID-0838,"Code civil, art. 313",838,78,-760,760,331
FLEXID-0839,"Code civil, art. 313",839,409,-430,430,331
FLEXID-0840,"Code civil, art. 313",840,740,-100,100,331
FLEXID-0841,"Code civil, art. 316-3",841,871,30,30,331
FLEXID-0842,"Code civil, art. 316-3",842,540,-302,302,331
FLEXID-0843,"Code civil, art. 316-3",843,209,-634,634,331
FLEXID-0844,"Code civil, art. 316-4",844,954,110,110,331
FLEXID-0845,"Code civil, art. 316-4",845,623,-222,222,331
FLEXID-0846,"Code civil, art. 316-4",846,292,-554,554,331
FLEXID-0847,"Code civil, art. 318",847,149,-698,698,331
FLEXID-0848,"Code civil, art. 318",848,480,-368,368,331
FLEXID-0849,"Code civil, art. 318",849,830,-19,19,350
FLEXID-0850,"Code civil, art. 318-1",850,29,-821,821,331
FLEXID-0851,"Code civil, art. 318-1",851,360,-491,491,331
FLEXID-0852,"Code civil, art. 318-1",852,691,-161,161,331
FLEXID-0853,"Code civil, art. 319",853,899,46,46,331
FLEXID-0854,"Code civil, art. 319",854,568,-286,286,331
FLEXID-0855,"Code civil, art. 319",855,237,-618,618,331
FLEXID-0856,"Code civil, art. 321",856,908,52,52,331
FLEXID-0857,"Code civil, art. 321",857,577,-280,280,331
FLEXID-0858,"Code civil, art. 321",858,246,-612,612,331
FLEXID-0859,"Code civil, art. 322",859,127,-732,732,331
FLEXID-0860,"Code civil, art. 322",860,458,-402,402,331
FLEXID-0861,"Code civil, art. 322",861,789,-72,72,331
FLEXID-0862,"Code civil, art. 323",862,122,-740,740,331
FLEXID-0863,"Code civil, art. 323",863,453,-410,410,331
FLEXID-0864,"Code civil, art. 323",864,784,-80,80,331
FLEXID-0865,"Code civil, art. 325",865,129,-736,736,331
FLEXID-0866,"Code civil, art. 325",866,460,-406,406,331
FLEXID-0867,"Code civil, art. 325",867,791,-76,76,331
FLEXID-0868,"Code civil, art. 326",868,916,48,48,331
FLEXID-0869,"Code civil, art. 326",869,585,-284,284,331
FLEXID-0870,"Code civil, art. 326",870,254,-616,616,331
FLEXID-0871,"Code civil, art. 327",871,915,44,44,331
FLEXID-0872,"Code civil, art. 327",872,584,-288,288,331
FLEXID-0873,"Code civil, art. 327",873,253,-620,620,331
FLEXID-0874,"Code civil, art. 330",874,136,-738,738,331
FLEXID-0875,"Code civil, art. 330",875,467,-408,408,331
FLEXID-0876,"Code civil, art. 330",876,798,-78,78,331
FLEXID-0877,"Code civil, art. 331",877,160,-717,717,331
FLEXID-0878,"Code civil, art. 331",878,491,-387,387,331
FLEXID-0879,"Code civil, art. 331",879,822,-57,57,331
FLEXID-0880,"Code civil, art. 332",880,978,98,98,360
FLEXID-0881,"Code civil, art. 332",881,618,-263,263,331
FLEXID-0882,"Code civil, art. 332",882,287,-595,595,331
FLEXID-0883,"Code civil, art. 335",883,214,-669,669,331
FLEXID-0884,"Code civil, art. 335",884,545,-339,339,331
FLEXID-0885,"Code civil, art. 335",885,876,-9,9,331
FLEXID-0886,"Code civil, art. 336",886,224,-662,662,331
FLEXID-0887,"Code civil, art. 336",887,555,-332,332,331
FLEXID-0888,"Code civil, art. 336",888,886,-2,2,331
FLEXID-0889,"Code civil, art. 337",889,953,64,64,331
FLEXID-0890,"Code civil, art. 337",890,622,-268,268,331
